epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.692,1.02436,5.93939,1.23593,0,0,0,0,0.50451,5.3609,0.95539,2.832e-05,2.832e-05,2.832e-05
2,488.518,0.89585,5.53291,1.15611,0,0,0,0,0.45513,5.23239,0.89956,5.20958e-05,5.20958e-05,5.20958e-05
3,729.346,0.84611,5.11784,1.141,0.91304,0.40385,0.67435,0.61133,0.52314,4.81871,0.93062,7.00306e-05,7.00306e-05,7.00306e-05
4,972.406,0.86903,4.65601,1.14898,0.42202,0.88462,0.75952,0.65456,0.58211,4.05231,0.98494,8.21245e-05,8.21245e-05,8.21245e-05
5,1206.33,0.92086,4.21011,1.17719,0.74441,0.59615,0.78423,0.67307,0.60355,3.39187,1.0097,7.1272e-05,7.1272e-05,7.1272e-05
6,1441.48,0.85184,3.74877,1.14172,0.84555,0.61538,0.78833,0.66175,0.64966,3.02824,1.0554,5.959e-05,5.959e-05,5.959e-05
7,1675.67,0.83772,3.47944,1.11435,0.73333,0.80769,0.82564,0.73646,0.59395,2.65885,1.03116,4.7908e-05,4.7908e-05,4.7908e-05
8,1910.3,0.83456,3.32754,1.109,0.77289,0.80769,0.8279,0.73879,0.56746,2.58501,0.99629,3.6226e-05,3.6226e-05,3.6226e-05
9,2160.88,0.81546,3.20304,1.11146,0.76357,0.80769,0.82355,0.73435,0.57695,2.52722,1.00563,2.4544e-05,2.4544e-05,2.4544e-05
10,2451.35,0.80241,3.16222,1.09089,0.77514,0.79557,0.82392,0.73098,0.59066,2.5083,1.0165,1.2862e-05,1.2862e-05,1.2862e-05
