epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2127.38,0.98024,1.48425,1.14593,0.83589,0.78367,0.81628,0.62199,0.8457,1.04439,1.18541,0.001703,0.001703,0.001703
17,2287.49,0.97411,1.4038,1.13236,0.81663,0.7708,0.81386,0.62123,0.85228,1.05924,1.19741,0.0016832,0.0016832,0.0016832
18,2409.9,0.97003,1.38712,1.15199,0.82919,0.78846,0.81334,0.60594,0.84788,1.03366,1.19736,0.0016634,0.0016634,0.0016634
19,2550.35,0.94119,1.37391,1.14697,0.84398,0.75,0.81432,0.60747,0.86297,1.11132,1.20073,0.0016436,0.0016436,0.0016436
20,2710.48,0.94097,1.3912,1.13342,0.85109,0.76937,0.82321,0.62456,0.83233,1.00883,1.19138,0.0016238,0.0016238,0.0016238
21,2884.78,1.00236,1.41619,1.1742,0.84892,0.75647,0.79574,0.62005,0.87525,1.09565,1.21816,0.001604,0.001604,0.001604
22,3042.23,0.92968,1.3119,1.14094,0.81559,0.78846,0.80479,0.6145,0.86144,1.01891,1.20065,0.0015842,0.0015842,0.0015842
23,3194.65,0.96504,1.32741,1.16227,0.79002,0.79598,0.81251,0.62851,0.83097,0.93707,1.19559,0.0015644,0.0015644,0.0015644
24,3318.73,0.95648,1.35592,1.14927,0.74428,0.82692,0.79948,0.61307,0.839,1.00785,1.18423,0.0015446,0.0015446,0.0015446
25,3463.08,0.92744,1.38038,1.13984,0.80247,0.78133,0.79085,0.61036,0.81798,0.97022,1.17295,0.0015248,0.0015248,0.0015248
26,3632.9,0.96098,1.35379,1.1651,0.76746,0.82512,0.79843,0.62785,0.77219,0.94008,1.1586,0.001505,0.001505,0.001505
27,3793.82,0.95675,1.34564,1.15821,0.74891,0.80308,0.80359,0.62042,0.81632,1.01832,1.18311,0.0014852,0.0014852,0.0014852
28,3951.97,0.93229,1.31942,1.12504,0.77233,0.71769,0.81315,0.63479,0.80809,0.94924,1.19494,0.0014654,0.0014654,0.0014654
29,4077.04,0.92193,1.33895,1.12091,0.8422,0.71154,0.80796,0.62966,0.80013,0.94574,1.16243,0.0014456,0.0014456,0.0014456
30,4204.6,0.91121,1.2694,1.12546,0.77583,0.76923,0.83347,0.65935,0.77823,0.94508,1.16659,0.0014258,0.0014258,0.0014258
31,4331.43,0.93932,1.33193,1.13807,0.83475,0.77723,0.83761,0.64133,0.80338,0.92536,1.17562,0.001406,0.001406,0.001406
32,4463.86,0.9409,1.28274,1.15165,0.78859,0.78846,0.8219,0.64113,0.81683,0.93429,1.18847,0.0013862,0.0013862,0.0013862
33,4597.51,0.90692,1.25408,1.10037,0.84782,0.78846,0.83537,0.64163,0.81972,0.92191,1.17929,0.0013664,0.0013664,0.0013664
34,4728.74,0.91829,1.28171,1.11384,0.80719,0.78846,0.84885,0.65113,0.79126,0.93699,1.14749,0.0013466,0.0013466,0.0013466
35,4867.09,0.93902,1.30039,1.15129,0.70346,0.80769,0.83189,0.63983,0.80181,0.99589,1.16072,0.0013268,0.0013268,0.0013268
36,5003.26,0.90157,1.26586,1.12855,0.88044,0.70815,0.82264,0.63056,0.81544,0.91357,1.1705,0.001307,0.001307,0.001307
37,5123.76,0.92609,1.30331,1.1184,0.86222,0.75,0.82613,0.65604,0.78071,0.95842,1.15165,0.0012872,0.0012872,0.0012872
38,5245.51,0.91048,1.26897,1.13275,0.8243,0.75,0.82352,0.64678,0.79104,0.88389,1.15631,0.0012674,0.0012674,0.0012674
39,5366.92,0.87762,1.24286,1.09816,0.85573,0.73077,0.84471,0.64431,0.78968,0.8874,1.16522,0.0012476,0.0012476,0.0012476
40,5488.57,0.92566,1.31174,1.1276,0.83943,0.80436,0.85459,0.6599,0.7984,0.89837,1.15404,0.0012278,0.0012278,0.0012278
41,5609.19,0.85427,1.22179,1.10565,0.87144,0.78221,0.86391,0.66182,0.79495,0.9245,1.15056,0.001208,0.001208,0.001208
42,5729.5,0.91856,1.23432,1.13653,0.88302,0.73077,0.84434,0.639,0.8259,0.98886,1.16718,0.0011882,0.0011882,0.0011882
43,5855.88,0.87313,1.23266,1.08636,0.81589,0.75,0.8226,0.62073,0.81519,0.94559,1.15283,0.0011684,0.0011684,0.0011684
44,5977.91,0.90717,1.25604,1.12506,0.75015,0.75,0.80551,0.63013,0.8076,1.02053,1.15052,0.0011486,0.0011486,0.0011486
45,6099.44,0.89464,1.19693,1.117,0.85392,0.71154,0.84124,0.66201,0.7726,0.8458,1.13134,0.0011288,0.0011288,0.0011288
46,6222.09,0.89371,1.29243,1.10923,0.74528,0.82692,0.82926,0.65681,0.76567,0.88841,1.1325,0.001109,0.001109,0.001109
47,6342.92,0.9043,1.23292,1.12498,0.80709,0.72421,0.82091,0.64836,0.80357,0.95021,1.16331,0.0010892,0.0010892,0.0010892
48,6464.37,0.90305,1.25256,1.12174,0.89034,0.67308,0.82354,0.64564,0.82306,1.01578,1.1588,0.0010694,0.0010694,0.0010694
49,6584.94,0.86626,1.18161,1.10804,0.82911,0.71154,0.82818,0.65058,0.80466,0.89234,1.15616,0.0010496,0.0010496,0.0010496
50,6710.55,0.85411,1.18824,1.0816,0.74102,0.77035,0.82742,0.63346,0.83114,0.93066,1.17722,0.0010298,0.0010298,0.0010298
51,6832.97,0.86899,1.18022,1.12154,0.8097,0.73651,0.81738,0.63975,0.81337,0.9351,1.16575,0.00101,0.00101,0.00101
52,6956.92,0.8785,1.1851,1.12124,0.7983,0.76123,0.82458,0.64328,0.82129,0.91845,1.18221,0.0009902,0.0009902,0.0009902
53,7086.56,0.84848,1.15934,1.11505,0.77445,0.79241,0.81695,0.63016,0.85913,0.94747,1.19601,0.0009704,0.0009704,0.0009704
54,7213.64,0.88168,1.21398,1.11434,0.75605,0.77488,0.81828,0.62478,0.81781,0.91176,1.18773,0.0009506,0.0009506,0.0009506
55,7344.98,0.88086,1.19378,1.10572,0.80528,0.84615,0.83275,0.65336,0.77765,0.94026,1.16328,0.0009308,0.0009308,0.0009308
56,7473.7,0.85,1.19208,1.11431,0.80186,0.76923,0.8188,0.64941,0.77052,0.8884,1.14972,0.000911,0.000911,0.000911
57,7594.9,0.8406,1.13653,1.08878,0.75346,0.88161,0.83039,0.63907,0.7718,0.85693,1.15178,0.0008912,0.0008912,0.0008912
58,7716.67,0.83391,1.14942,1.07975,0.75898,0.84615,0.82297,0.63509,0.80518,0.87362,1.15323,0.0008714,0.0008714,0.0008714
59,7838.53,0.85055,1.15407,1.08133,0.75456,0.82772,0.8332,0.65278,0.79272,0.86924,1.14776,0.0008516,0.0008516,0.0008516
60,7960.15,0.86763,1.18489,1.10959,0.80587,0.71859,0.81405,0.64127,0.78318,0.92396,1.14575,0.0008318,0.0008318,0.0008318
61,8092.44,0.86801,1.20926,1.10732,0.72854,0.76923,0.81487,0.63771,0.79031,0.9651,1.15547,0.000812,0.000812,0.000812
62,8224.38,0.83998,1.15582,1.09817,0.74189,0.75,0.80126,0.61571,0.78772,0.96511,1.16378,0.0007922,0.0007922,0.0007922
63,8359.73,0.83239,1.13791,1.08992,0.74539,0.73077,0.79413,0.60623,0.78099,0.95787,1.16051,0.0007724,0.0007724,0.0007724
64,8508.77,0.8594,1.16594,1.11757,0.70479,0.82641,0.80646,0.62326,0.78698,0.95367,1.16378,0.0007526,0.0007526,0.0007526
65,8658.67,0.85277,1.16568,1.08487,0.80183,0.73077,0.8132,0.62754,0.7807,0.90213,1.15841,0.0007328,0.0007328,0.0007328
66,8791.23,0.84363,1.1289,1.09892,0.71938,0.83815,0.82369,0.6197,0.80716,0.8986,1.17499,0.000713,0.000713,0.000713
67,8923.84,0.84324,1.17395,1.11769,0.83211,0.69231,0.81631,0.63427,0.79295,0.93117,1.17157,0.0006932,0.0006932,0.0006932
68,9061.58,0.83664,1.12088,1.09203,0.85586,0.69231,0.82968,0.64761,0.77595,0.89388,1.17075,0.0006734,0.0006734,0.0006734
69,9196.04,0.83649,1.16553,1.10657,0.82551,0.73077,0.83171,0.62994,0.79807,0.91561,1.17967,0.0006536,0.0006536,0.0006536
70,9318.14,0.83014,1.1597,1.08157,0.701,0.81161,0.82526,0.62914,0.80284,0.91064,1.17685,0.0006338,0.0006338,0.0006338
71,9438.59,0.83056,1.11667,1.10004,0.72765,0.82214,0.82416,0.63997,0.80108,0.8845,1.17514,0.000614,0.000614,0.000614
72,9559.73,0.84124,1.10871,1.09995,0.83039,0.69231,0.81028,0.63204,0.81222,0.92951,1.17305,0.0005942,0.0005942,0.0005942
73,9679.95,0.81487,1.14919,1.08419,0.79551,0.67333,0.80494,0.62748,0.78669,0.92681,1.16508,0.0005744,0.0005744,0.0005744
74,9800.53,0.82927,1.08531,1.10513,0.76297,0.73077,0.81615,0.63623,0.79756,0.89829,1.16951,0.0005546,0.0005546,0.0005546
75,9921.36,0.81985,1.13323,1.08202,0.79882,0.68732,0.8166,0.61976,0.81312,0.90668,1.18443,0.0005348,0.0005348,0.0005348
76,10041.6,0.79796,1.09536,1.07088,0.79305,0.73702,0.81213,0.61277,0.81981,0.91675,1.17981,0.000515,0.000515,0.000515
77,10163.1,0.80961,1.10178,1.08328,0.82762,0.75,0.80708,0.6112,0.82229,0.9647,1.17543,0.0004952,0.0004952,0.0004952
78,10283.4,0.80597,1.08192,1.07956,0.80981,0.73703,0.81322,0.62418,0.79402,0.94521,1.15175,0.0004754,0.0004754,0.0004754
79,10415.3,0.83103,1.10878,1.1053,0.67935,0.8557,0.82631,0.6402,0.77489,0.92952,1.14173,0.0004556,0.0004556,0.0004556
80,10586.6,0.82388,1.0967,1.10161,0.82422,0.72147,0.82382,0.63618,0.78698,0.917,1.14407,0.0004358,0.0004358,0.0004358
81,10745.9,0.77654,1.10213,1.03942,0.77956,0.74813,0.81534,0.6235,0.81183,0.94155,1.16094,0.000416,0.000416,0.000416
82,10911.6,0.8305,1.08703,1.09655,0.73475,0.79914,0.79972,0.60885,0.80854,0.95726,1.16012,0.0003962,0.0003962,0.0003962
83,11055.5,0.77427,1.10778,1.06387,0.73639,0.78846,0.81601,0.63336,0.80463,0.95332,1.16527,0.0003764,0.0003764,0.0003764
84,11215.1,0.83555,1.05358,1.10772,0.68334,0.82692,0.82267,0.62956,0.80078,0.93514,1.15892,0.0003566,0.0003566,0.0003566
85,11343.9,0.79642,1.07253,1.07194,0.66278,0.88462,0.81754,0.62798,0.80217,0.96448,1.15881,0.0003368,0.0003368,0.0003368
86,11466.5,0.8028,1.0371,1.06701,0.70141,0.90351,0.81777,0.62814,0.81057,0.95501,1.16414,0.000317,0.000317,0.000317
87,11595.6,0.83505,1.11495,1.10647,0.79636,0.73077,0.80699,0.6225,0.80373,0.97868,1.16146,0.0002972,0.0002972,0.0002972
88,11757.8,0.78433,1.03374,1.07277,0.70886,0.88967,0.8063,0.62718,0.78061,0.95882,1.15503,0.0002774,0.0002774,0.0002774
89,11921.9,0.75799,0.98928,1.06389,0.72837,0.87673,0.8113,0.62804,0.78003,0.93722,1.15753,0.0002576,0.0002576,0.0002576
90,12082.9,0.75418,1.03477,1.06998,0.79683,0.78846,0.81726,0.62868,0.79391,0.93045,1.16759,0.0002378,0.0002378,0.0002378
91,12226.3,0.71911,0.95485,1.05739,0.75741,0.76923,0.8115,0.62651,0.80508,0.97884,1.17195,0.000218,0.000218,0.000218
92,12383.7,0.71194,0.96607,1.05747,0.70745,0.80769,0.81839,0.63087,0.79265,0.97283,1.1656,0.0001982,0.0001982,0.0001982
93,12542.6,0.72313,0.92474,1.07338,0.67475,0.86538,0.82606,0.64164,0.77953,0.90876,1.16233,0.0001784,0.0001784,0.0001784
94,12701.7,0.72195,0.93046,1.0564,0.7079,0.80769,0.81819,0.64224,0.77634,0.92963,1.16079,0.0001586,0.0001586,0.0001586
95,12867.6,0.71658,0.92687,1.08022,0.71332,0.81353,0.81701,0.64112,0.78343,0.95776,1.16581,0.0001388,0.0001388,0.0001388
96,13029.3,0.71596,0.9247,1.04364,0.72551,0.86411,0.82279,0.64377,0.78286,0.93934,1.16556,0.000119,0.000119,0.000119
97,13196.7,0.71516,0.94074,1.04652,0.72773,0.84615,0.82253,0.64734,0.7813,0.93481,1.16396,9.92e-05,9.92e-05,9.92e-05
98,13365.4,0.70493,0.88717,1.05767,0.71091,0.85129,0.82156,0.64769,0.78207,0.93315,1.16531,7.94e-05,7.94e-05,7.94e-05
99,13521.9,0.70604,0.9123,1.04161,0.70254,0.86298,0.82131,0.64705,0.77631,0.93108,1.16177,5.96e-05,5.96e-05,5.96e-05
100,13676.9,0.691,0.89474,1.04521,0.69989,0.85218,0.8216,0.64671,0.77735,0.92499,1.16393,3.98e-05,3.98e-05,3.98e-05
