epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.701,0.94007,2.49682,1.139,0.0034,0.98077,0.68439,0.51114,0.64852,2.98397,1.053,0.00048,0.00048,0.00048
2,291.92,0.95412,2.0217,1.1334,0.84595,0.21124,0.71917,0.55254,0.8219,2.8206,1.1658,0.000970298,0.000970298,0.000970298
3,412.25,1.02314,1.96968,1.16597,0.74801,0.74221,0.73907,0.53659,0.83403,2.17097,1.23434,0.0014507,0.0014507,0.0014507
4,532.418,0.99428,1.84377,1.17846,0.78444,0.69993,0.76295,0.57475,0.86752,1.86778,1.25069,0.00192119,0.00192119,0.00192119
5,652.352,1.07536,1.84915,1.196,0.83096,0.73077,0.81045,0.61639,0.82982,1.65416,1.23561,0.0019208,0.0019208,0.0019208
6,772.964,1.07466,1.74422,1.20132,0.80333,0.70706,0.80275,0.59483,0.84094,1.56121,1.20958,0.001901,0.001901,0.001901
7,894.056,1.05976,1.67082,1.17606,0.85441,0.67725,0.80767,0.59185,0.85091,1.35096,1.24698,0.0018812,0.0018812,0.0018812
8,1014.53,1.026,1.61817,1.17702,0.72173,0.82692,0.79262,0.59758,0.85877,1.35952,1.23635,0.0018614,0.0018614,0.0018614
9,1134.78,1.00004,1.57883,1.15594,0.78677,0.76923,0.79173,0.60653,0.90167,1.22956,1.24655,0.0018416,0.0018416,0.0018416
10,1255.03,1.01979,1.50296,1.15698,0.72818,0.80769,0.79233,0.59931,0.88794,1.21093,1.23953,0.0018218,0.0018218,0.0018218
11,1375.24,1.00782,1.5755,1.1693,0.78454,0.77029,0.80304,0.58766,0.87387,1.15748,1.24882,0.001802,0.001802,0.001802
12,1507.53,0.98375,1.4407,1.15511,0.84018,0.75,0.82098,0.62063,0.85574,1.13627,1.22305,0.0017822,0.0017822,0.0017822
13,1660.68,0.98144,1.48692,1.146,0.77128,0.7783,0.82779,0.61843,0.86801,1.16107,1.21564,0.0017624,0.0017624,0.0017624
14,1818.37,1.00767,1.50872,1.181,0.81631,0.75,0.78642,0.57587,0.85177,1.14163,1.21991,0.0017426,0.0017426,0.0017426
15,1984.99,0.94449,1.40366,1.12221,0.84597,0.78846,0.80915,0.59611,0.88144,1.09367,1.20627,0.0017228,0.0017228,0.0017228
